text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,_primary_case_type,_obfuscation_type,_original_text
Nаѕtіnеѕѕ? Yоu mеаn lіkе Аmеrісаn роlіtісѕ? Ѕо іf yоu dоn't lіkе my соmmеnt іt'ѕ соnѕіdеrеd nаѕtіnеѕѕ? Frее-ѕреесh іѕ dеаd аt thіѕ nеwѕрареr dоn't еxресtеd tо соmе bасk.,0.30000001192092896,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,insult,homoglyph,Nastiness? You mean like American politics? So if you don't like my comment it's considered nastiness? Free-speech is dead at this newspaper don't expected to come back.
"$uch w0nd3rfully C1V1L c0mm3n7$! 

W3ll d0n3 RG! 

Y0ur n3w $y$73m h@$ n07 0nly 3l1m1n@73d @ gr3@7 d3@l 0f d1$c0ur$3 bu7 @l$0 @ll0w$ $uch w0nd3rful 1npu7 70 c0n71nu3.",0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,sexual_explicit,leet,"Such wonderfully CIVIL comments! 

Well done RG! 

Your new system has not only eliminated a great deal of discourse but also allows such wonderful input to continue."
"No, A D​a​l​e​k​. If you w​e​r​e h​e​r​e or if y​o​u​'​d do r​e​s​e​a​r​c​h you w​o​u​l​d f​i​n​d out t​h​a​t the PFD was set up to f​o​r​m a c​o​n​n​e​c​t​i​o​n b​e​t​w​e​e​n the p​u​b​l​i​c and PF. If t​h​e​r​e was no c​o​n​n​e​c​t​i​o​n or v​e​s​t​e​d i​n​t​e​r​e​s​t it was t​h​o​u​g​h​t t​h​a​t the l​e​g​i​s​l​a​t​u​r​e w​o​u​l​d be a​b​l​e to r​a​i​d it at a m​u​c​h l​o​w​e​r t​h​r​e​s​h​o​l​d and no one w​o​u​l​d say a​n​y​t​h​i​n​g​. I​t​'​s w​o​r​k​e​d - t​h​o​u​g​h the e​n​t​i​t​l​e​m​e​n​t p​a​r​t is t​h​e​r​e​. At l​e​a​s​t S​O​M​E are w​i​l​l​i​n​g to let the s​t​a​t​e go d​o​w​n the t​u​b​e​s as l​o​n​g as t​h​e​y ""​g​e​t t​h​e​i​r​s​""​.",0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,severe_toxicity,zwsp,"No, A Dalek. If you were here or if you'd do research you would find out that the PFD was set up to form a connection between the public and PF. If there was no connection or vested interest it was thought that the legislature would be able to raid it at a much lower threshold and no one would say anything. It's worked - though the entitlement part is there. At least SOME are willing to let the state go down the tubes as long as they ""get theirs""."
Haters_gonna_hate.,0.20000000298023224,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,identity_attack,underscore,Haters gonna hate.
"Pr3$1d3n7 7rump w1ll m@k3 @m3r1c@ gr3@7 @g@1n.  @ d@un71ng 7@$k @f73r 31gh7 y3@r$ 0f 7h3 Gr3@7 D1v1d3r, B@r@ck Hu$$31n 0b@m@.",0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,insult,leet,"President Trump will make America great again.  A daunting task after eight years of the Great Divider, Barack Hussein Obama."
"7​h​3​$​3 h​@​c​k​n​3​y​3​d 7​@​l​k​1​n​g p​0​1​n​7​$ c​@​n​'​7 $​@​v​3 y​0​u​r p​@​r​7​y n​0​w​. @​n​y​w​@​y​, 7​h​3​y​'​r​3 @ll n​0​n​$​3​n​$​3​.",0.4000000059604645,0.10000000149011612,0.0,0.0,0.4000000059604645,0.0,0.0,severe_toxicity,mixed,"These hackneyed talking points can't save your party now. Anyway, they're all nonsense."
1f 1 w​0​r​k​3​d @7 7h3 3P@ 1'd j​u​m​p 0n 7h3 0​p​p​0​r​7​u​n​1​7​y 70 g37 0u7 0f 7​h​3​r​3 3​@​r​l​y 1n @ h​3​@​r​7​b​3​@​7​.  M​0​r​@​l​3 m​u​$​7 $​u​c​k 7​h​3​r​3 7​h​3​$​3 d​@​y​$​.,0.30000001192092896,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,sexual_explicit,mixed,If I worked at the EPA I'd jump on the opportunity to get out of there early in a heartbeat.  Morale must suck there these days.
D​0​n​'​7 y0u r​3​@​l​l​y m​3​@​n 7​h​@​7 h3 1$ n07 g​@​y​?,0.30000001192092896,0.10000000149011612,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,identity_attack,mixed,Don't you really mean that he is not gay?
"Pur3 gr33d 1$ g01ng 0n.  1f @ l@ndl0rd w@$ m@k1ng pr0f17 7hr33 y3@r$ @g0 17 1$ pur3 gr33d 70 r@1$3 7h3 r3n7 50% 1n 7hr33 y3@r$, @$ h@$ h@pp3n3d 70 m3.  Plu$ h3 dump3d w@73r 0n u$ 700.  $0 0ur 1ncr3@$3$ h@v3 @c7u@lly b33n 60% 1n 7hr33 y3@r$.  7h1$ 1$ vul7ur3 c@p17@l1$m.  W3 n33d @ l1m17 0n r3n7 1ncr3@$3$ y3@r 0v3r y3@r.",0.4000000059604645,0.0,0.10000000149011612,0.0,0.30000001192092896,0.10000000149011612,0.0,identity_attack,leet,"Pure greed is going on.  If a landlord was making profit three years ago it is pure greed to raise the rent 50% in three years, as has happened to me.  Plus he dumped water on us too.  So our increases have actually been 60% in three years.  This is vulture capitalism.  We need a limit on rent increases year over year."
Why w*re th*y ev*n all*w*d in a h*lf way h**s*? Th*y m*de the d*c*s**n to be cr*m*n*ls. Why is our syst*m all*y*ng cr*m*n*ls l*ke th*s to be am*ng the g**d p**ple in our c*mm*n*ty?,0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,insult,asterisk,Why were they even allowed in a half way house? They made the decision to be criminals. Why is our system alloying criminals like this to be among the good people in our community?
"W*ls*n, aft*r not c*r*ng en**gh to p*rs*e all the iss**s r**s*d, inst**d opts for a t**chy-f**ly att*mpt at gr*bb*ng s*me h**dl*n*s ab**t how m*ch she c*r*s for br*k*n f*m*l**s. Cry me a r*v*r of cr*c*d*le t**rs, Ms. W*ls*n, as th*s r**ks of ph*ny ""c*mp**gn-*sm.""  

I h*ve an id**!  L*t's p**r T*mm*e W*ls*n w*th K*thy ""c*n't sl**p at n*ght w*rry*ng ab**t ch*ld m*l*st*rs g*tt*ng p*n*sh*d too s*v*r*ly"" M*N*z and let th*m p*r*de th**r ph*ny hyst*r*a ar**nd the st*t*. It's el*ct**n t*me d*pl*c*ty at its w*rst.",0.4000000059604645,0.10000000149011612,0.0,0.0,0.4000000059604645,0.0,0.0,severe_toxicity,asterisk,"Wilson, after not caring enough to pursue all the issues raised, instead opts for a touchy-feely attempt at grabbing some headlines about how much she cares for broken families. Cry me a river of crocodile tears, Ms. Wilson, as this reeks of phony ""campaign-ism.""  

I have an idea!  Let's pair Tammie Wilson with Kathy ""can't sleep at night worrying about child molesters getting punished too severely"" MuNOz and let them parade their phony hysteria around the state. It's election time duplicity at its worst."
Y0ur m07h3r r@1$3d @ p13c3 0f 7r@$h.,0.7758620977401733,0.017241379246115685,0.1034482792019844,0.0,0.7758620977401733,0.0,0.0,obscene,leet,Your mother raised a piece of trash.
"70 b3 @​b​l​3 70 3​x​p​3​r​1​3​n​c​3 @ p​1​3​c​3 0f @​m​3​r​1​c​@​n h​1​$​7​0​r​y $​u​c​h @$ 7​h​1​$​, 1 c@n 0​n​l​y 1​m​@​g​1​n​3​. L​u​c​k​y k​1​d​$​. H​0​p​3​f​u​l​l​y 7​h​3​y 7​@​k​3 17 @ll 1n.",0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.1666666716337204,sexual_explicit,mixed,"To be able to experience a piece of American history such as this, I can only imagine. Lucky kids. Hopefully they take it all in."
"Dеаf, ѕріnеlеѕѕ аnd unеthісаl.  Juѕt 3 аdjесtіvеѕ thаt ѕрrіng tо mіnd.",0.4000000059604645,0.10000000149011612,0.0,0.0,0.4000000059604645,0.0,0.0,severe_toxicity,homoglyph,"Deaf, spineless and unethical.  Just 3 adjectives that spring to mind."
"ummm.....mоѕt dеаthѕ іn wаrѕ аrе ""fіrеаrm-rеlаtеd dеаthѕ"".  Lоl...",0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,insult,homoglyph,"ummm.....most deaths in wars are ""firearm-related deaths"".  Lol..."
I_always_thought_us_lunatics_kept_to_the_online_comments.,0.699999988079071,0.0,0.0,0.0,0.699999988079071,0.10000000149011612,0.0,identity_attack,underscore,I always thought us lunatics kept to the online comments.
"W​h​a​t​'​s e​v​e​n m​o​r​e of a h​o​o​t is how w​e​l​c​o​m​e he f​e​l​t in the R​e​p​u​b​l​i​c​a​n P​a​r​t​y​, who w​e​l​c​o​m​e​d him w​i​t​h o​p​e​n a​r​m​s and m​i​l​l​i​o​n​s of v​o​t​e​s w​h​e​n he d​e​c​i​d​e​d t​h​a​t the D​e​m​o​c​r​a​t​i​c P​a​r​t​y no l​o​n​g​e​r s​u​i​t​e​d h​i​m​. In l​i​g​h​t of r​e​c​e​n​t r​e​v​e​l​a​t​i​o​n​s I s​t​i​l​l c​a​n​'​t s​t​o​p l​a​u​g​h​i​n​g at w​h​a​t a h​o​o​t it is t​h​a​t you R​e​p​u​b​l​i​c​a​n​s are now s​t​u​c​k w​i​t​h t​h​i​s v​u​l​g​a​r b​u​f​f​o​o​n as y​o​u​r s​t​a​n​d​a​r​d​-​b​e​a​r​e​r​.",0.5,0.10000000149011612,0.0,0.0,0.5,0.0,0.0,severe_toxicity,zwsp,"What's even more of a hoot is how welcome he felt in the Republican Party, who welcomed him with open arms and millions of votes when he decided that the Democratic Party no longer suited him. In light of recent revelations I still can't stop laughing at what a hoot it is that you Republicans are now stuck with this vulgar buffoon as your standard-bearer."
"A​n​o​t​h​e​r r​e​p​u​b​l​i​c​a​n​! W​h​e​n are p​e​o​p​l​e g​o​n​n​a l​e​a​r​n​?​?​?​?  R​e​p​u​b​l​i​c​a​n​s are R​E​g​r​e​s​s​i​v​e​. T​h​e​y go b​a​c​k​w​a​r​d b​e​c​a​u​s​e t​h​e​y d​o​n​'​t k​n​o​w w​h​a​t m​o​v​i​n​g f​o​r​w​a​r​d is! The o​n​l​y t​h​i​n​g g​o​o​d a​b​o​u​t t​h​i​s is G​a​t​t​i​s is g​o​n​e​! I w​o​u​l​d l​o​v​e to h​a​v​e s​e​e​n her l​o​s​i​n​g f​a​c​e​. Ya c​r​y​i​n​g y​o​u​r​s​e​l​f to s​l​e​e​p​, L​y​n​n​? Be a g​o​o​d S​e​n​i​o​r and l​e​a​v​e the s​t​a​t​e​.​.​.",0.20000000298023224,0.10000000149011612,0.0,0.0,0.20000000298023224,0.0,0.0,severe_toxicity,zwsp,"Another republican! When are people gonna learn????  Republicans are REgressive. They go backward because they don't know what moving forward is! The only thing good about this is Gattis is gone! I would love to have seen her losing face. Ya crying yourself to sleep, Lynn? Be a good Senior and leave the state..."
"Dоеѕ frее ѕреесh іnсludе thе rіght tо thrеаtеn ѕhооtіng а mіddlе ѕсhооl?

еdіt: Hе wаѕn't аrrеѕtеd fоr thе сlоwn рrоfіlе but fоr mаkіng thrеаtѕ. Аrе yоu juѕt рrеtеndіng thе сlоwn рrоfіlе wаѕ thе рrоblеm оr dо yоu nоt undеrѕtаnd thе сhаrgеѕ? Аnywаy, І ѕhаrе yоur hоре thаt hе іѕn't іmрrіѕоnеd but rаthеr іѕ gіvеn hеlр, but dеfеndіng hіѕ асtіоnѕ аѕ еxеrсіѕіng frее ѕреесh аnd рrеtеndіng hе juѕt hаd а сlоwn рrоfіlе іѕ juѕt glоѕѕіng оvеr hіѕ рrоblеmѕ.",0.4000000059604645,0.10000000149011612,0.0,0.0,0.5,0.0,0.0,severe_toxicity,homoglyph,"Does free speech include the right to threaten shooting a middle school?

edit: He wasn't arrested for the clown profile but for making threats. Are you just pretending the clown profile was the problem or do you not understand the charges? Anyway, I share your hope that he isn't imprisoned but rather is given help, but defending his actions as exercising free speech and pretending he just had a clown profile is just glossing over his problems."
"F​1​r​$​7 0​f​f​, 7​3​3​n​@​g​3 b​0​y​$ c@n g37 0​n​l​1​n​3 @nd $33 @ll 7h3 n​@​k​3​d g​1​r​l​$ 7​h​3​y w​@​n​7 w​1​7​h @ f3w m​0​u​$​3 c​l​1​c​k​$​. $​3​c​0​n​d​l​y​, @ 7​3​3​n​@​g​3 b0y g​0​1​n​g 1​n​7​0 @ g​1​r​l​$ l​0​c​k​3​r 0r b​@​7​h​r​0​0​m w​0​u​l​d 0​p​3​n h​1​m​$​3​l​f up 70 $​3​r​1​0​u​$ $​0​c​1​@​l r​3​p​3​r​c​u​$​$​1​0​n​$ f​r​0​m 7h3 0​7​h​3​r b​0​y​$ wh0 w​0​u​l​d v​1​3​w $​u​c​h @n @c7 @$ @n @​d​m​1​$​$​1​0​n 0f f​3​m​1​n​1​n​3 7​3​n​d​3​n​c​1​3​$ w​h​1​c​h 1$ @ f​0​r​m 0f $​0​c​1​@​l $​u​1​c​1​d​3 1n h​1​g​h $​c​h​0​0​l​.",0.20000000298023224,0.0,0.0,0.0,0.0,0.10000000149011612,0.20000000298023224,sexual_explicit,mixed,"First off, teenage boys can get online and see all the naked girls they want with a few mouse clicks. Secondly, a teenage boy going into a girls locker or bathroom would open himself up to serious social repercussions from the other boys who would view such an act as an admission of feminine tendencies which is a form of social suicide in high school."
You pr*v*d my p**nt. You are inc*p*ble of p*st*ng anyth*ng r*m*t*ly int*ll*g*nt. Wh*n y**r pr*f**nd st*p*d*ty is exp*s*d w*th f*cts you c*nn*t r*f*te you are inc*p*ble of m*nn*ng up b*c**se you h*ve no id*a how to be a m*n. Ev*ry t*me you fl*g the p*st l*ke a c*w*rd you m*ke my p**nt.,0.7777777910232544,0.0694444477558136,0.1527777761220932,0.0,0.75,0.013888888992369175,0.0,identity_attack,asterisk,You proved my point. You are incapable of posting anything remotely intelligent. When your profound stupidity is exposed with facts you cannot refute you are incapable of manning up because you have no idea how to be a man. Every time you flag the post like a coward you make my point.
"n07h1ng l1k3 @ b@r w17h @ $@d $7r1pp3r 1n 7h3 c0rn3r, m1$$ 7h@7 pl@c3 $0 much. @l$0 d0n'7 f0r g37 7h3 $@7yr1c0n R1P.",0.20000000298023224,0.0,0.0,0.0,0.10000000149011612,0.0,0.10000000149011612,sexual_explicit,leet,"nothing like a bar with a sad stripper in the corner, miss that place so much. also don't for get the satyricon RIP."
D0n'7 l37 7h3 d00r h17 y@ 1n 7h3 b@ck$1d3.,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,sexual_explicit,leet,Don't let the door hit ya in the backside.
Our c​i​t​y c​e​l​e​b​r​a​t​e​s s​l​u​g​s and t​r​a​n​s​.,0.4000000059604645,0.0,0.0,0.0,0.4000000059604645,0.4000000059604645,0.0,identity_attack,zwsp,Our city celebrates slugs and trans.
"m​a​r​y​, if p​e​o​p​l​e w​e​r​e​n​'​t s​u​p​p​o​r​t​i​n​g t​h​e​s​e b​u​f​f​o​o​n​s t​h​e​y w​o​u​l​d​n​'​t be an i​s​s​u​e​.  t​h​i​s is a d​e​e​p​e​r​, m​o​r​a​l c​r​i​s​i​s for our  p​e​o​p​l​e​.   s​o​m​e​t​h​i​n​g is w​r​o​n​g h​e​r​e​.​.​.​.",0.30000001192092896,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,insult,zwsp,"mary, if people weren't supporting these buffoons they wouldn't be an issue.  this is a deeper, moral crisis for our  people.   something is wrong here...."
"And h​e​l​l h​a​t​h i​n​d​e​e​d f​r​o​z​e​n o​v​e​r​.  P​e​r​h​a​p​s t​h​a​t​'​s why i​t​'​s so w​a​r​m h​e​r​e in A​n​c​h​o​r​a​g​e n​o​w​.  We A​G​R​E​E​, a​l​t​h​o​u​g​h s​a​y​i​n​g it f​e​e​l​s l​i​k​e r​u​b​b​i​n​g a c​h​e​e​s​e​-​g​r​a​t​e​r a​g​a​i​n​s​t my g​u​m​s​.  N​o​n​e​t​h​e​l​e​s​s I d​i​s​l​i​k​e c​e​n​s​o​r​s​h​i​p to the p​o​i​n​t w​h​e​r​e I r​e​f​u​s​e to act as an u​n​p​a​i​d '​c​i​v​i​l​' c​e​n​s​o​r for A​D​N​.  T​h​a​t​'​s why I m​a​r​k E​V​E​R​Y p​o​s​t ""​g​o​o​d​/​c​i​v​i​l​""​-​-​e​v​e​n y​o​u​r​s (!) w​h​e​n t​h​e​y t​u​r​n up in t​h​e​i​r l​i​t​t​l​e ""​c​i​v​i​l​-​t​e​s​t​""​-​-​I​'​m not g​o​i​n​g to i​n​f​o​r​m on p​e​o​p​l​e for s​a​y​i​n​g t​h​i​n​g​s I d​o​n​'​t l​i​k​e​.  I b​e​l​i​e​v​e I'm c​a​p​a​b​l​e of d​e​a​l​i​n​g w​i​t​h t​h​a​t m​y​s​e​l​f​.  W​a​'​A​l​-​S​a​l​a​a​m a​l​a​y​k​u​m​.",0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,obscene,zwsp,"And hell hath indeed frozen over.  Perhaps that's why it's so warm here in Anchorage now.  We AGREE, although saying it feels like rubbing a cheese-grater against my gums.  Nonetheless I dislike censorship to the point where I refuse to act as an unpaid 'civil' censor for ADN.  That's why I mark EVERY post ""good/civil""--even yours (!) when they turn up in their little ""civil-test""--I'm not going to inform on people for saying things I don't like.  I believe I'm capable of dealing with that myself.  Wa'Al-Salaam alaykum."
"Mоdеrn hyросrіѕy run аmоk.  Wе lосk uр humаnѕ іn саgеѕ fоr dесаdеѕ fоr nоn-vіоlеnt ""сrіmеѕ,"" whіlе рrоtеѕtіng аbоut аnіmаlѕ whо ѕіmрly реrfоrm.  Lеt'ѕ gо bоmb ѕоmе mіddlе еаѕtеrnеrѕ bеfоrе оur аftеrnооn frее оrсаѕ mееtіng.",0.30000001192092896,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,insult,homoglyph,"Modern hypocrisy run amok.  We lock up humans in cages for decades for non-violent ""crimes,"" while protesting about animals who simply perform.  Let's go bomb some middle easterners before our afternoon free orcas meeting."
"We_need_FEMA_labor_camps_away_from_cities._This_would_be_a_place_for_criminals,chronic_drunks_and_the_homeless_could_stay.",0.4000000059604645,0.0,0.10000000149011612,0.0,0.30000001192092896,0.30000001192092896,0.0,identity_attack,underscore,"We need FEMA labor camps away from cities. This would be a place for criminals,chronic drunks and the homeless could stay."
"Аll vаlіd роіntѕ еxсерt іt аvоіdѕ humаn nаturе. Whо dоеѕn't knоw thаt оbеѕіty іѕ а hеаlth dіѕаѕtеr yеt gо thе mаll аnd ѕее fоr yоurѕеlf.
FLОTUЅ hаѕ рuѕhеd hеr hеаlthy ѕсhооl lunсh рrоgrаm wіth thе рrіmаry rеѕult bеіng thе еnоrmоuѕ іnсrеаѕе іn dіѕсаrdеd fооdѕ.",0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,insult,homoglyph,"All valid points except it avoids human nature. Who doesn't know that obesity is a health disaster yet go the mall and see for yourself.
FLOTUS has pushed her healthy school lunch program with the primary result being the enormous increase in discarded foods."
P​R​E​S​I​D​E​N​T T​R​U​M​P IS A​L​R​E​A​D​Y A F​A​I​L​U​R​E​.,0.6000000238418579,0.10000000149011612,0.0,0.0,0.6000000238418579,0.0,0.0,severe_toxicity,zwsp,PRESIDENT TRUMP IS ALREADY A FAILURE.
"@n07h3r $3 m1ll10n w33k3nd 7r1p 70 Fl0r1d@.  N07 @ p33p fr0m 7rump $yc0ph@n7$ wh0 c0mpl@1n3d @b0u7 3v3ry d0ll@r $p3n7 0n 0b@m@ 7r@v3l.

1n l3$$ 7h@n 6 m0n7h$, 7rump w1ll run up b1ll$ 7h@7 3xc33d 7h3 3n71r3 3xp3n$3 0f 7h3 31gh7 0b@m@ y3@r$.

H0w l@zy c@n $0m30n3 b3?  H3 n33d$ 70 fly 70 Fl0r1d@ 3v3ry w33k3nd 70 pl@y g0lf?  1 h0p3 h3 d03$n'7 m@k3 $1x m0n7h$ 1n 0ff1c3 b3f0r3 r3$1gn1ng 0r b31ng 1mp3@ch3d.  Wh@7 @ d1$gr@c3.",0.699999988079071,0.0,0.0,0.0,0.699999988079071,0.0,0.0,insult,leet,"Another $3 million weekend trip to Florida.  Not a peep from Trump sycophants who complained about every dollar spent on Obama travel.

In less than 6 months, Trump will run up bills that exceed the entire expense of the eight Obama years.

How lazy can someone be?  He needs to fly to Florida every weekend to play golf?  I hope he doesn't make six months in office before resigning or being impeached.  What a disgrace."
